Emoji,SleepQuality,MetFriends,Productivity,TookBreaks,OverallFeeling,Notes,Label
😊,Feeling tired,no,low,no,happy,Felt good emotionally but had no energy,Recharge Energy
😐,well,virtually,okay,few breaks,neutral,Caught up with a friend online but overall mood flat,Stay Balanced
😔,not really,no,low,no,sad,Really unproductive and isolated,Recover from Burnout
😴,not really,no,okay,yes,tired,Managed a few things but still tired,Recommend Relaxation
😐,well,no,okay,yes,neutral,Day went okay but I feel indifferent,Stay Balanced
😊,well,yes,high,yes,happy,Very productive connected with people felt great,Celebrate Positive Mood
😭,not really,no,low,no,sad,Felt lonely and cried a bit today,Handle Loneliness
😠,okay,no,okay,few breaks,angry,Irritated by small things today,Promote Self-Care
😊,not really,yes,low,no,happy,Hung out with friends but still exhausted,Recharge Energy
😐,okay,no,low,yes,neutral,Tried to focus but couldn't get much done,Needs Motivation
😴,bad,no,low,no,tired,Completely drained need rest badly,Recommend Relaxation
😐,well,yes,okay,yes,neutral,Felt better today after meeting friends,Stay Balanced
😔,okay,virtually,low,few breaks,sad,Felt unsupported even after talking to someone,Recover from Burnout
😊,well,no,high,yes,happy,Accomplished a lot today and feeling proud,Celebrate Positive Mood
😐,well,no,low,no,neutral,Bored and not in the mood to do anything,Needs Motivation
